dataset	mismatches	cover_extension	island_of_exact_match	num_probes
aichivirus_a	5	30	25	729
aichivirus_a	5	40	25	585
aichivirus_a	5	50	25	474
aichivirus_a	6	0	25	1188
aichivirus_a	6	10	25	1111
aichivirus_a	6	20	25	853
aichivirus_a	6	30	25	673
aichivirus_a	6	40	25	565
aichivirus_a	6	50	25	458
aichivirus_a	7	0	25	1138
aichivirus_a	7	10	25	1057
aichivirus_a	7	20	25	807
aichivirus_a	7	30	25	640
aichivirus_a	7	40	25	528
aichivirus_a	7	50	25	437
aichivirus_a	8	0	25	1108
aichivirus_a	8	10	25	1025
aichivirus_a	8	20	25	771
aichivirus_a	8	30	25	632
aichivirus_a	8	40	25	504
aichivirus_a	8	50	25	420
akabane_orthobunyavirus	0	0	25	3380
akabane_orthobunyavirus	0	10	25	3350
akabane_orthobunyavirus	0	20	25	2411
akabane_orthobunyavirus	0	30	25	1871
akabane_orthobunyavirus	0	40	25	1530
akabane_orthobunyavirus	0	50	25	1272
akabane_orthobunyavirus	1	0	25	2281
akabane_orthobunyavirus	1	10	25	2224
akabane_orthobunyavirus	1	20	25	1619
akabane_orthobunyavirus	1	30	25	1273
akabane_orthobunyavirus	1	40	25	1039
akabane_orthobunyavirus	1	50	25	884
akabane_orthobunyavirus	2	0	25	1765
akabane_orthobunyavirus	2	10	25	1707
akabane_orthobunyavirus	2	20	25	1265
akabane_orthobunyavirus	2	30	25	1001
akabane_orthobunyavirus	2	40	25	840
akabane_orthobunyavirus	2	50	25	715
akabane_orthobunyavirus	3	0	25	1470
akabane_orthobunyavirus	3	10	25	1409
akabane_orthobunyavirus	3	20	25	1072
akabane_orthobunyavirus	3	30	25	860
akabane_orthobunyavirus	3	40	25	717
akabane_orthobunyavirus	3	50	25	594
akabane_orthobunyavirus	4	0	25	1313
akabane_orthobunyavirus	4	10	25	1275
akabane_orthobunyavirus	4	20	25	960
akabane_orthobunyavirus	4	30	25	768
akabane_orthobunyavirus	4	40	25	650
akabane_orthobunyavirus	4	50	25	531
akabane_orthobunyavirus	5	0	25	1220
akabane_orthobunyavirus	5	10	25	1191
akabane_orthobunyavirus	5	20	25	890
akabane_orthobunyavirus	5	30	25	725
akabane_orthobunyavirus	5	40	25	597
akabane_orthobunyavirus	5	50	25	507
akabane_orthobunyavirus	6	0	25	1158
akabane_orthobunyavirus	6	10	25	1123
akabane_orthobunyavirus	6	20	25	859
akabane_orthobunyavirus	6	30	25	679
akabane_orthobunyavirus	6	40	25	569
akabane_orthobunyavirus	6	50	25	476
akabane_orthobunyavirus	7	0	25	1134
akabane_orthobunyavirus	7	10	25	1079
akabane_orthobunyavirus	7	20	25	818
akabane_orthobunyavirus	7	30	25	676
akabane_orthobunyavirus	7	40	25	564
akabane_orthobunyavirus	7	50	25	464
akabane_orthobunyavirus	8	0	25	1124
akabane_orthobunyavirus	8	10	25	1066
akabane_orthobunyavirus	8	20	25	832
akabane_orthobunyavirus	8	30	25	660
akabane_orthobunyavirus	8	40	25	560
akabane_orthobunyavirus	8	50	25	456
alagoas_vesiculovirus	0	0	25	177
alagoas_vesiculovirus	0	10	25	188
alagoas_vesiculovirus	0	20	25	151
alagoas_vesiculovirus	0	30	25	124
alagoas_vesiculovirus	0	40	25	101
alagoas_vesiculovirus	0	50	25	84
alagoas_vesiculovirus	1	0	25	182
alagoas_vesiculovirus	1	10	25	187
alagoas_vesiculovirus	1	20	25	147
alagoas_vesiculovirus	1	30	25	117
alagoas_vesiculovirus	1	40	25	105
alagoas_vesiculovirus	1	50	25	84
alagoas_vesiculovirus	2	0	25	179
alagoas_vesiculovirus	2	10	25	191
alagoas_vesiculovirus	2	20	25	144
alagoas_vesiculovirus	2	30	25	122
alagoas_vesiculovirus	2	40	25	104
alagoas_vesiculovirus	2	50	25	82
alagoas_vesiculovirus	3	0	25	178
alagoas_vesiculovirus	3	10	25	187
alagoas_vesiculovirus	3	20	25	149
alagoas_vesiculovirus	3	30	25	121
alagoas_vesiculovirus	3	40	25	97
alagoas_vesiculovirus	3	50	25	85
alagoas_vesiculovirus	4	0	25	175
alagoas_vesiculovirus	4	10	25	188
alagoas_vesiculovirus	4	20	25	152
alagoas_vesiculovirus	4	30	25	122
alagoas_vesiculovirus	4	40	25	104
alagoas_vesiculovirus	4	50	25	85
alagoas_vesiculovirus	5	0	25	178
alagoas_vesiculovirus	5	10	25	192
alagoas_vesiculovirus	5	20	25	142
alagoas_vesiculovirus	5	30	25	118
alagoas_vesiculovirus	5	40	25	104
alagoas_vesiculovirus	5	50	25	85
alagoas_vesiculovirus	6	0	25	179
alagoas_vesiculovirus	6	10	25	193
alagoas_vesiculovirus	6	20	25	147
alagoas_vesiculovirus	6	30	25	123
alagoas_vesiculovirus	6	40	25	106
alagoas_vesiculovirus	6	50	25	80
alagoas_vesiculovirus	7	0	25	177
alagoas_vesiculovirus	7	10	25	191
alagoas_vesiculovirus	7	20	25	145
alagoas_vesiculovirus	7	30	25	123
alagoas_vesiculovirus	7	40	25	104
alagoas_vesiculovirus	7	50	25	85
alagoas_vesiculovirus	8	0	25	178
alagoas_vesiculovirus	8	10	25	189
alagoas_vesiculovirus	8	20	25	149
alagoas_vesiculovirus	8	30	25	122
alagoas_vesiculovirus	8	40	25	101
alagoas_vesiculovirus	8	50	25	83
alajuela_orthobunyavirus	0	0	25	213
alajuela_orthobunyavirus	0	10	25	225
alajuela_orthobunyavirus	0	20	25	173
alajuela_orthobunyavirus	0	30	25	143
alajuela_orthobunyavirus	0	40	25	123
alajuela_orthobunyavirus	0	50	25	96
alajuela_orthobunyavirus	1	0	25	211
alajuela_orthobunyavirus	1	10	25	225
alajuela_orthobunyavirus	1	20	25	176
alajuela_orthobunyavirus	1	30	25	146
alajuela_orthobunyavirus	1	40	25	123
alajuela_orthobunyavirus	1	50	25	100
alajuela_orthobunyavirus	2	0	25	209
alajuela_orthobunyavirus	2	10	25	223
alajuela_orthobunyavirus	2	20	25	174
alajuela_orthobunyavirus	2	30	25	147
alajuela_orthobunyavirus	2	40	25	123
alajuela_orthobunyavirus	2	50	25	96
alajuela_orthobunyavirus	3	0	25	211
alajuela_orthobunyavirus	3	10	25	222
alajuela_orthobunyavirus	3	20	25	177
alajuela_orthobunyavirus	3	30	25	142
alajuela_orthobunyavirus	3	40	25	121
alajuela_orthobunyavirus	3	50	25	97
alajuela_orthobunyavirus	4	0	25	213
alajuela_orthobunyavirus	4	10	25	228
alajuela_orthobunyavirus	4	20	25	180
alajuela_orthobunyavirus	4	30	25	148
alajuela_orthobunyavirus	4	40	25	122
alajuela_orthobunyavirus	4	50	25	97
alajuela_orthobunyavirus	5	0	25	207
alajuela_orthobunyavirus	5	10	25	225
alajuela_orthobunyavirus	5	20	25	174
alajuela_orthobunyavirus	5	30	25	141
alajuela_orthobunyavirus	5	40	25	124
alajuela_orthobunyavirus	5	50	25	100
alajuela_orthobunyavirus	6	0	25	215
alajuela_orthobunyavirus	6	10	25	224
alajuela_orthobunyavirus	6	20	25	181
alajuela_orthobunyavirus	6	30	25	142
alajuela_orthobunyavirus	6	40	25	119
alajuela_orthobunyavirus	6	50	25	96
alajuela_orthobunyavirus	7	0	25	215
alajuela_orthobunyavirus	7	10	25	224
alajuela_orthobunyavirus	7	20	25	181
alajuela_orthobunyavirus	7	30	25	148
alajuela_orthobunyavirus	7	40	25	117
alajuela_orthobunyavirus	7	50	25	100
alajuela_orthobunyavirus	8	0	25	211
alajuela_orthobunyavirus	8	10	25	230
alajuela_orthobunyavirus	8	20	25	175
alajuela_orthobunyavirus	8	30	25	143
alajuela_orthobunyavirus	8	40	25	123
alajuela_orthobunyavirus	8	50	25	100
allpahuayo_mammarenavirus	0	0	25	224
allpahuayo_mammarenavirus	0	10	25	242
allpahuayo_mammarenavirus	0	20	25	191
allpahuayo_mammarenavirus	0	30	25	151
allpahuayo_mammarenavirus	0	40	25	127
allpahuayo_mammarenavirus	0	50	25	105
allpahuayo_mammarenavirus	1	0	25	221
allpahuayo_mammarenavirus	1	10	25	237
allpahuayo_mammarenavirus	1	20	25	186
allpahuayo_mammarenavirus	1	30	25	155
allpahuayo_mammarenavirus	1	40	25	126
allpahuayo_mammarenavirus	1	50	25	108
allpahuayo_mammarenavirus	2	0	25	218
allpahuayo_mammarenavirus	2	10	25	230
allpahuayo_mammarenavirus	2	20	25	185
allpahuayo_mammarenavirus	2	30	25	156
allpahuayo_mammarenavirus	2	40	25	127
allpahuayo_mammarenavirus	2	50	25	104
allpahuayo_mammarenavirus	3	0	25	225
allpahuayo_mammarenavirus	3	10	25	233
allpahuayo_mammarenavirus	3	20	25	182
allpahuayo_mammarenavirus	3	30	25	149
allpahuayo_mammarenavirus	3	40	25	130
allpahuayo_mammarenavirus	3	50	25	104
allpahuayo_mammarenavirus	4	0	25	223
allpahuayo_mammarenavirus	4	10	25	237
allpahuayo_mammarenavirus	4	20	25	183
allpahuayo_mammarenavirus	4	30	25	158
allpahuayo_mammarenavirus	4	40	25	128
allpahuayo_mammarenavirus	4	50	25	107
allpahuayo_mammarenavirus	5	0	25	220
allpahuayo_mammarenavirus	5	10	25	234
allpahuayo_mammarenavirus	5	20	25	187
allpahuayo_mammarenavirus	5	30	25	148
allpahuayo_mammarenavirus	5	40	25	121
allpahuayo_mammarenavirus	5	50	25	106
allpahuayo_mammarenavirus	6	0	25	221
allpahuayo_mammarenavirus	6	10	25	235
